
Ingredient_Name,INCI_Name,Primary_Function,Anti_Aging_Effectiveness,Acne_Effectiveness,Hyperpigmentation_Effectiveness,Hydration_Effectiveness,Sensitivity_Effectiveness,Clinical_Studies_Count,Evidence_Level,Optimal_Concentration_Min,Optimal_Concentration_Max,Time_To_Results_Weeks,Mechanism_Of_Action,Synergistic_Partners,Antagonistic_Ingredients,pH_Stability_Min,pH_Stability_Max,Molecular_Weight,Penetration_Ability,Cost_Effectiveness_Rating,Availability_Rating,Tolerability_Rating,Pregnancy_Safe,Breastfeeding_Safe,Usage_Notes_EN,Usage_Notes_AR
Palm Oil,Elaeis Guineensis Oil,Emollient/Antioxidant,4.0,3.0,2.0,6.5,7.5,100,High,5.0,50.0,2,Tropical oil rich in vitamin E,Vitamin E; Other tropical oils,None known,4.0,8.0,Variable,Medium,8.0,8.5,8.0,Yes,Yes,Sustainable sourcing important. Rich in antioxidants,المصادر المستدامة مهمة. غني بمضادات الأكسدة
Palm Kernel Oil,Elaeis Guineensis Kernel Oil,Emollient/Cleansing,3.5,4.0,2.0,6.0,7.5,80,High,5.0,30.0,2,Harder fraction of palm oil,Palm Oil; Coconut Oil; Other tropical oils,None known,4.0,8.0,Variable,Medium,7.5,8.0,8.0,Yes,Yes,Higher melting point than palm oil,نقطة انصهار أعلى من زيت النخيل
Babassu Oil,Orbignya Oleifera Seed Oil,Emollient/Lightweight,4.0,4.5,2.0,7.0,8.0,40,Medium,2.0,30.0,2,Brazilian palm oil alternative,Coconut Oil; Other tropical oils,None known,4.0,8.0,Variable,High,6.0,7.0,8.5,Yes,Yes,Sustainable alternative to palm oil,بديل مستدام لزيت النخيل
Murumuru Seed Oil,Astrocaryum Murumuru Seed Oil,Emollient/Silky,3.5,2.5,2.0,7.0,8.5,20,Low,2.0,20.0,2,Amazonian oil with silky feel,Other Amazonian oils; Lightweight oils,None known,4.0,8.0,Variable,High,5.0,6.0,8.5,Yes,Yes,Amazonian oil with unique silky texture,زيت أمازوني بملمس حريري فريد
Tucuma Seed Oil,Astrocaryum Vulgare Seed Oil,Emollient/Protective,4.0,3.0,3.0,7.0,8.0,15,Low,2.0,15.0,3,Amazonian protective oil,Other Amazonian oils; Protective agents,None known,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Traditional Amazonian protective oil,زيت أمازوني واقي تقليدي
Buriti Oil,Mauritia Flexuosa Fruit Oil,Emollient/Antioxidant,5.0,3.0,4.0,7.0,8.0,25,Low,1.0,10.0,4,Beta-carotene rich Amazonian oil,Vitamin A; Other antioxidant oils,Retinoids (high vitamin A content),4.0,8.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Highest natural beta-carotene content,أعلى محتوى طبيعي من البيتا كاروتين
Pracaxi Oil,Pentaclethra Macroloba Seed Oil,Emollient/Healing,4.5,4.0,3.5,7.5,8.5,20,Low,2.0,15.0,4,Amazonian healing oil,Other healing oils; Centella Asiatica,None known,4.0,8.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Traditional Amazonian healing oil,زيت أمازوني شافي تقليدي
Andiroba Oil,Carapa Guaianensis Seed Oil,Emollient/Anti-inflammatory,4.5,5.0,4.0,6.5,8.5,30,Medium,2.0,20.0,4,Anti-inflammatory Amazonian oil,Other anti-inflammatory oils; Centella Asiatica,None known,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Traditional anti-inflammatory oil,زيت مضاد للالتهاب تقليدي
Copaiba Oil,Copaifera Officinalis Oil,Anti-inflammatory/Healing,5.0,6.0,4.0,5.0,8.5,35,Medium,0.5,5.0,4,High in beta-caryophyllene,CBD Oil; Other anti-inflammatory oils,None known,4.0,8.0,Variable,High,4.0,5.0,8.5,Yes,Yes,Natural source of beta-caryophyllene,مصدر طبيعي للبيتا كاريوفيلين
Sacha Inchi Oil,Plukenetia Volubilis Seed Oil,Emollient/Omega-rich,5.0,4.0,4.0,7.5,8.5,25,Low,2.0,15.0,4,Omega-3 rich Amazonian oil,Other omega-rich oils; Antioxidants,None known,4.0,8.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Highest plant-based omega-3 content,أعلى محتوى أوميغا-3 نباتي
Chia Seed Oil,Salvia Hispanica Seed Oil,Emollient/Omega-rich,4.5,4.0,4.0,7.0,8.5,40,Medium,1.0,10.0,4,Omega-3 rich superfood oil,Other omega oils; Antioxidants,None known,4.0,8.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Superfood oil rich in omega-3,زيت غذاء فائق غني بالأوميغا-3
Flaxseed Oil,Linum Usitatissimum Seed Oil,Emollient/Omega-rich,4.5,4.0,4.0,7.0,8.0,60,Medium,2.0,15.0,4,Alpha-linolenic acid rich oil,Other omega oils; Vitamin E,None known,4.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Rich in alpha-linolenic acid,غني بحمض الألفا لينولينيك
Hemp Seed Oil,Cannabis Sativa Seed Oil,Emollient/Balancing,5.0,5.5,4.0,7.5,8.5,50,Medium,2.0,20.0,4,Balanced omega fatty acid profile,Other omega oils; CBD products,None known,4.0,8.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Perfect omega 3:6 ratio. Non-psychoactive,نسبة مثالية من الأوميغا 3:6. غير مؤثر نفسياً
Evening Primrose Oil,Oenothera Biennis Oil,Emollient/Hormonal Balance,5.5,4.5,4.0,7.0,8.0,80,High,2.0,20.0,6,Rich in gamma-linolenic acid,Borage Oil; Other GLA-rich oils,None known,4.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Beneficial for hormonal skin issues,مفيد لمشاكل البشرة الهرمونية
Borage Oil,Borago Officinalis Seed Oil,Emollient/Anti-inflammatory,5.5,5.0,4.0,7.0,8.5,60,Medium,1.0,15.0,6,Highest GLA content,Evening Primrose Oil; Other anti-inflammatory oils,None known,4.0,8.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Highest natural GLA content,أعلى محتوى طبيعي من GLA
Black Currant Seed Oil,Ribes Nigrum Seed Oil,Emollient/Antioxidant,5.0,4.5,4.5,7.0,8.5,40,Medium,1.0,10.0,6,Rich in GLA and anthocyanins,Borage Oil; Evening Primrose Oil,None known,4.0,8.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Rich in GLA and antioxidant anthocyanins,غني بـ GLA ومضادات الأكسدة الأنثوسيانين
Cranberry Seed Oil,Vaccinium Macrocarpon Seed Oil,Emollient/Antioxidant,4.5,4.0,4.5,6.5,8.5,30,Medium,1.0,10.0,6,Balanced omega profile with antioxidants,Other berry oils; Antioxidants,None known,4.0,8.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Balanced fatty acids with antioxidant benefits,أحماض دهنية متوازنة مع فوائد مضادة للأكسدة
Raspberry Seed Oil,Rubus Idaeus Seed Oil,Emollient/UV Protection,4.5,4.0,4.0,6.5,8.5,35,Medium,2.0,15.0,4,Natural UV protection,Other berry oils; Sunscreen agents,None known,4.0,8.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Natural SPF properties,خصائص عامل حماية طبيعي من الشمس
Strawberry Seed Oil,Fragaria Ananassa Seed Oil,Emollient/Antioxidant,4.0,3.5,4.0,6.5,8.5,25,Low,1.0,10.0,4,Antioxidant-rich berry oil,Other berry oils; Vitamin C,None known,4.0,8.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Rich in antioxidants and vitamin C,غني بمضادات الأكسدة وفيتامين سي
Blueberry Seed Oil,Vaccinium Corymbosum Seed Oil,Emollient/Antioxidant,4.5,4.0,4.5,6.5,8.5,20,Low,1.0,8.0,6,Superfruit oil with antioxidants,Other berry oils; Antioxidants,None known,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Superfruit oil with high antioxidant content,زيت فاكهة فائقة مع محتوى عالي من مضادات الأكسدة
Pomegranate Seed Oil,Punica Granatum Seed Oil,Emollient/Anti-aging,6.0,4.5,5.5,6.5,8.5,45,Medium,1.0,10.0,8,Rich in punicic acid,Pomegranate Extract; Other antioxidant oils,None known,4.0,8.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Unique punicic acid for anti-aging,حمض البونيسيك الفريد لمكافحة الشيخوخة
Watermelon Seed Oil,Citrullus Lanatus Seed Oil,Emollient/Lightweight,3.5,3.5,3.0,7.0,8.5,20,Low,2.0,15.0,3,Lightweight non-comedogenic oil,Other light oils; Watermelon Extract,None known,4.0,8.0,Variable,High,5.0,6.0,8.5,Yes,Yes,Lightweight oil that absorbs quickly,زيت خفيف يمتص بسرعة
Pumpkin Seed Oil,Cucurbita Pepo Seed Oil,Emollient/Antioxidant,4.5,4.5,4.0,6.5,8.0,35,Medium,2.0,15.0,4,Rich in zinc and antioxidants,Pumpkin Extract; Zinc; Other seed oils,None known,4.0,8.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Rich in zinc and beneficial for acne-prone skin,غني بالزنك ومفيد للبشرة المعرضة لحب الشباب
Sunflower Seed Oil,Helianthus Annuus Seed Oil,Emollient/Antioxidant,4.0,3.5,3.0,7.0,8.5,120,High,5.0,50.0,2,High in vitamin E,Vitamin E; Other antioxidant oils,None known,4.0,8.0,Variable,High,8.5,9.0,8.5,Yes,Yes,High in vitamin E and linoleic acid,غني بفيتامين هـ وحمض اللينوليك
High Oleic Sunflower Oil,Helianthus Annuus Seed Oil,Emollient/Stable,4.0,3.0,3.0,7.0,8.5,80,High,5.0,50.0,2,More stable sunflower oil variety,Regular Sunflower Oil; Other stable oils,None known,4.0,8.0,Variable,High,8.0,8.5,8.5,Yes,Yes,More oxidatively stable than regular sunflower oil,أكثر استقراراً من زيت عباد الشمس العادي
Safflower Oil,Carthamus Tinctorius Seed Oil,Emollient/Lightweight,4.0,4.0,3.0,7.0,8.5,100,High,5.0,50.0,2,Lightweight linoleic-rich oil,Sunflower Oil; Other linoleic-rich oils,None known,4.0,8.0,Variable,High,8.0,8.5,8.5,Yes,Yes,High in linoleic acid. Good for acne-prone skin,غني بحمض اللينوليك. مناسب للبشرة المعرضة لحب الشباب
Grapeseed Oil,Vitis Vinifera Seed Oil,Emollient/Antioxidant,5.0,4.5,4.5,6.5,8.5,80,High,5.0,30.0,3,Lightweight antioxidant oil,Grape Extract; Other antioxidant oils,None known,4.0,8.0,Variable,High,7.5,8.5,8.5,Yes,Yes,Lightweight oil rich in antioxidants,زيت خفيف غني بمضادات الأكسدة
Apricot Kernel Oil,Prunus Armeniaca Kernel Oil,Emollient/Nourishing,4.5,3.5,3.5,7.5,8.5,60,Medium,5.0,30.0,3,Gentle nourishing oil,Peach Kernel Oil; Other stone fruit oils,None known,4.0,8.0,Variable,Medium,7.0,8.0,8.5,Yes,Yes,Gentle oil suitable for sensitive skin,زيت لطيف مناسب للبشرة الحساسة
Peach Kernel Oil,Prunus Persica Kernel Oil,Emollient/Softening,4.0,3.5,3.0,7.5,8.5,50,Medium,5.0,30.0,3,Softening stone fruit oil,Apricot Kernel Oil; Other stone fruit oils,None known,4.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Softening oil with delicate texture,زيت منعم بملمس رقيق
Sweet Almond Oil,Prunus Amygdalus Dulcis Oil,Emollient/Soothing,4.0,3.0,3.0,8.0,9.0,150,High,10.0,100.0,2,Classic gentle emollient,Other nut oils; Soothing agents,Tree nut allergies,4.0,8.0,Variable,Medium,8.5,9.0,9.0,Yes,Yes,Classic gentle oil. Avoid if tree nut allergic,زيت لطيف كلاسيكي. تجنب في حالة حساسية المكسرات
Bitter Almond Oil,Prunus Amygdalus Amara Kernel Oil,Emollient/Aromatic,4.0,3.0,3.0,7.0,8.0,30,Medium,2.0,15.0,3,Aromatic almond oil,Sweet Almond Oil; Other aromatic oils,Tree nut allergies; Benzaldehyde sensitivity,4.0,8.0,Variable,Medium,5.0,6.0,8.5,No,No,Contains benzaldehyde. Avoid during pregnancy,يحتوي على البنزالديهايد. تجنب أثناء الحمل
Hazelnut Oil,Corylus Avellana Seed Oil,Emollient/Astringent,4.5,4.5,3.5,6.5,8.0,40,Medium,5.0,25.0,3,Slightly astringent nut oil,Other nut oils; Astringent agents,Tree nut allergies,4.0,8.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Slightly astringent. Good for oily skin,قابض قليلاً. مناسب للبشرة الدهنية
Walnut Oil,Juglans Regia Seed Oil,Emollient/Omega-rich,4.5,4.0,4.0,7.0,8.0,50,Medium,2.0,20.0,4,Omega-3 rich nut oil,Other omega-rich oils; Nut oils,Tree nut allergies,4.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Rich in omega-3. Avoid if tree nut allergic,غني بالأوميغا-3. تجنب في حالة حساسية المكسرات
Macadamia Oil,Macadamia Integrifolia Seed Oil,Emollient/Anti-aging,5.5,3.5,3.5,8.0,8.5,45,Medium,5.0,30.0,4,Palmitoleic acid rich oil,Other anti-aging oils; Nut oils,Tree nut allergies,4.0,8.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Rich in palmitoleic acid. Mimics skin sebum,غني بحمض البالميتوليك. يحاكي زهم البشرة
Brazil Nut Oil,Bertholletia Excelsa Seed Oil,Emollient/Antioxidant,4.5,3.5,4.0,7.5,8.5,25,Low,2.0,15.0,4,Selenium-rich Amazonian nut oil,Other Amazonian oils; Antioxidants,Tree nut allergies,4.0,8.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Rich in selenium. Powerful antioxidant,غني بالسيلينيوم. مضاد أكسدة قوي
Pistachio Oil,Pistacia Vera Seed Oil,Emollient/Antioxidant,4.5,4.0,4.0,7.0,8.5,20,Low,2.0,15.0,4,Antioxidant-rich nut oil,Other nut oils; Antioxidants,Tree nut allergies,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Rich in antioxidants and vitamin E,غني بمضادات الأكسدة وفيتامين هـ
Pine Nut Oil,Pinus Pinea Seed Oil,Emollient/Healing,4.5,4.0,3.5,7.0,8.5,15,Low,1.0,10.0,4,Traditional healing nut oil,Other healing oils; Pine extracts,Tree nut allergies,4.0,8.0,Variable,Medium,3.5,4.5,8.5,Yes,Yes,Traditional European healing oil,زيت شفاء أوروبي تقليدي
Avocado Oil,Persea Gratissima Oil,Emollient/Nourishing,5.5,3.5,4.0,8.5,8.5,100,High,10.0,100.0,3,Rich nourishing oil,Other rich oils; Avocado Extract,None known,4.0,8.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Rich in oleic acid and vitamins,غني بحمض الأوليك والفيتامينات
Olive Oil,Olea Europaea Fruit Oil,Emollient/Antioxidant,5.0,3.0,3.5,8.0,7.5,200,Very High,10.0,100.0,3,Mediterranean antioxidant oil,Olive Leaf Extract; Other Mediterranean oils,None known,4.0,8.0,Variable,Medium,8.5,9.0,8.0,Yes,Yes,Rich in antioxidants. May be comedogenic for some,غني بمضادات الأكسدة. قد يسدد المسام لدى البعض
Extra Virgin Olive Oil,Olea Europaea Fruit Oil,Emollient/Antioxidant,5.5,3.0,4.0,8.0,7.5,150,High,5.0,50.0,3,Unrefined olive oil with higher antioxidants,Regular Olive Oil; Other unrefined oils,None known,4.0,8.0,Variable,Medium,7.0,8.0,8.0,Yes,Yes,Higher antioxidant content than refined olive oil,محتوى أعلى من مضادات الأكسدة من زيت الزيتون المكرر
Castor Oil,Ricinus Communis Seed Oil,Emollient/Healing,5.0,5.5,3.5,8.0,8.0,120,High,5.0,100.0,4,Ricinoleic acid rich healing oil,Other healing oils; Anti-inflammatory agents,None known,4.0,8.0,Variable,High,8.0,8.5,8.5,Yes,Yes,Rich in ricinoleic acid. Excellent for healing,غني بحمض الريسينوليك. ممتاز للشفاء
Black Castor Oil,Ricinus Communis Seed Oil,Emollient/Strengthening,5.0,5.5,4.0,8.0,8.0,80,High,5.0,50.0,4,Roasted castor oil with ash,Regular Castor Oil; Strengthening agents,None known,4.0,8.0,Variable,High,6.5,7.5,8.5,Yes,Yes,Traditional roasted castor oil,زيت خروع محمص تقليدي
Jamaican Black Castor Oil,Ricinus Communis Seed Oil,Emollient/Traditional,5.0,5.5,4.0,8.0,8.0,60,Medium,5.0,50.0,4,Traditional Caribbean castor oil,Black Castor Oil; Traditional oils,None known,4.0,8.0,Variable,High,5.5,6.5,8.5,Yes,Yes,Traditional Caribbean preparation,تحضير كاريبي تقليدي
Neem Oil,Azadirachta Indica Seed Oil,Antimicrobial/Healing,4.5,7.5,4.5,5.0,7.0,80,High,1.0,10.0,4,Potent antimicrobial oil,Tea Tree Oil; Other antimicrobial oils,None known,4.0,8.0,Variable,Medium,6.0,7.0,7.5,Yes,Yes,Strong antimicrobial. May have strong odor,مضاد ميكروبي قوي. قد تكون له رائحة قوية
Karanja Oil,Pongamia Pinnata Seed Oil,Antimicrobial/UV Protection,4.5,6.5,4.0,6.0,7.5,40,Medium,2.0,15.0,4,Traditional antimicrobial with UV protection,Neem Oil; Other traditional oils,None known,4.0,8.0,Variable,Medium,5.0,6.0,8.0,Yes,Yes,Traditional Indian oil with natural UV protection,زيت هندي تقليدي مع حماية طبيعية من الأشعة فوق البنفسجية
Tamanu Oil,Calophyllum Inophyllum Seed Oil,Healing/Anti-inflammatory,6.0,6.5,5.0,6.5,8.5,50,Medium,5.0,100.0,6,Polynesian healing oil,Other healing oils; Anti-inflammatory agents,None known,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Traditional Polynesian healing oil,زيت شفاء بولينيزي تقليدي
Kukui Nut Oil,Aleurites Moluccanus Seed Oil,Emollient/Healing,5.0,4.5,4.5,8.0,8.5,35,Medium,5.0,50.0,4,Hawaiian healing oil,Tamanu Oil; Other Pacific oils,Tree nut allergies,4.0,8.0,Variable,High,4.0,5.0,8.5,Yes,Yes,Traditional Hawaiian healing oil,زيت شفاء هاوايي تقليدي
Mongongo Oil,Schinziophyton Rautanenii Kernel Oil,Emollient/Protective,4.5,3.5,4.0,8.0,8.5,20,Low,2.0,20.0,4,African desert oil,Other African oils; Protective agents,None known,4.0,8.0,Variable,Medium,3.5,4.5,8.5,Yes,Yes,Traditional Kalahari desert oil,زيت صحراء كالاهاري التقليدي
Marula Oil,Sclerocarya Birrea Seed Oil,Emollient/Antioxidant,5.5,2.5,3.0,8.0,8.5,40,Medium,2.0,20.0,3,African antioxidant oil,Other African oils; Antioxidants,None known,4.0,8.0,Variable,High,5.5,6.5,8.5,Yes,Yes,Fast-absorbing African oil rich in antioxidants,زيت أفريقي سريع الامتصاص غني بمضادات الأكسدة
Baobab Oil,Adansonia Digitata Seed Oil,Emollient/Nourishing,5.0,3.5,4.0,8.5,8.5,30,Medium,2.0,20.0,4,African tree of life oil,Marula Oil; Other African oils,None known,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,From the African tree of life,من شجرة الحياة الأفريقية
Kalahari Melon Seed Oil,Citrullus Lanatus Seed Oil,Emollient/Lightweight,4.0,4.0,3.5,7.5,8.5,25,Low,2.0,15.0,3,Desert survival oil,Watermelon Seed Oil; Other desert oils,None known,4.0,8.0,Variable,High,4.0,5.0,8.5,Yes,Yes,Traditional Kalahari survival oil,زيت بقاء كالاهاري التقليدي
Manketti Oil,Schinziophyton Rautanenii Seed Oil,Emollient/UV Protection,4.5,3.5,4.0,7.5,8.5,15,Low,2.0,15.0,4,Namibian oil with natural UV protection,Other African oils; UV protective oils,None known,4.0,8.0,Variable,Medium,3.0,4.0,8.5,Yes,Yes,Natural UV protection from Namibian tree,حماية طبيعية من الأشعة فوق البنفسجية من شجرة ناميبية
Ximenia Oil,Ximenia Americana Seed Oil,Emollient/Healing,4.5,4.5,4.0,7.5,8.5,20,Low,1.0,10.0,4,African healing oil,Other African healing oils,None known,4.0,8.0,Variable,Medium,3.5,4.5,8.5,Yes,Yes,Traditional African healing oil,زيت شفاء أفريقي تقليدي
Yangu Oil,Calodendrum Capense Seed Oil,Emollient/Anti-aging,5.0,4.0,4.5,7.5,8.5,15,Low,2.0,15.0,6,South African anti-aging oil,Other anti-aging oils; African oils,None known,4.0,8.0,Variable,Medium,3.0,4.0,8.5,Yes,Yes,South African cape chestnut oil,زيت كستناء الكاب الجنوب أفريقي
Meadowfoam Seed Oil,Limnanthes Alba Seed Oil,Emollient/Protective,4.0,2.5,2.5,8.5,9.0,30,Medium,5.0,50.0,2,Highly stable protective oil,Other stable oils; Protective agents,None known,4.0,8.0,Variable,Low,5.5,6.5,9.0,Yes,Yes,Extremely stable oil with long shelf life,زيت مستقر للغاية مع عمر افتراضي طويل
Camellia Oil,Camellia Oleifera Seed Oil,Emollient/Anti-aging,5.5,3.5,4.0,8.0,8.5,40,Medium,5.0,30.0,4,Asian beauty oil,Other Asian oils; Anti-aging agents,None known,4.0,8.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Traditional Asian beauty oil,زيت جمال آسيوي تقليدي
Tsubaki Oil,Camellia Japonica Seed Oil,Emollient/Conditioning,5.0,3.0,3.5,8.0,8.5,35,Medium,5.0,30.0,4,Japanese camellia oil,Camellia Oil; Other Japanese oils,None known,4.0,8.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Traditional Japanese hair and skin oil,زيت شعر وبشرة ياباني تقليدي
Perilla Seed Oil,Perilla Frutescens Seed Oil,Emollient/Omega-rich,4.5,4.5,4.0,7.0,8.5,25,Low,2.0,15.0,4,Korean omega-3 rich oil,Other omega-rich oils; Asian oils,None known,4.0,8.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Korean oil rich in omega-3,زيت كوري غني بالأوميغا-3
Sesame Oil,Sesamum Indicum Seed Oil,Emollient/Antioxidant,4.5,4.0,4.0,7.0,8.0,100,High,10.0,100.0,3,Traditional Ayurvedic oil,Other Ayurvedic oils; Antioxidants,Sesame allergies,4.0,8.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Traditional Ayurvedic oil. Avoid if sesame allergic,زيت أيورفيدا تقليدي. تجنب في حالة حساسية السمسم
Black Sesame Oil,Sesamum Indicum Seed Oil,Emollient/Antioxidant,5.0,4.0,4.5,7.0,8.0,60,Medium,5.0,50.0,4,Roasted sesame oil with higher antioxidants,Regular Sesame Oil; Other roasted oils,Sesame allergies,4.0,8.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Higher antioxidant content than regular sesame oil,محتوى أعلى من مضادات الأكسدة من زيت السمسم العادي
Mustard Seed Oil,Brassica Nigra Seed Oil,Emollient/Warming,4.0,5.0,3.5,6.0,7.0,40,Medium,2.0,15.0,3,Traditional warming oil,Other warming oils; Spice oils,Mustard allergies,4.0,8.0,Variable,Medium,5.5,6.5,7.5,Yes,Yes,Traditional warming oil. May cause sensitivity,زيت تدفئة تقليدي. قد يسبب حساسية
Nigella Seed Oil,Nigella Sativa Seed Oil,Antimicrobial/Healing,5.5,6.5,5.0,6.0,8.0,60,Medium,2.0,20.0,6,Black cumin healing oil,Other healing oils; Antimicrobials,None known,4.0,8.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Traditional Middle Eastern healing oil,زيت شفاء شرق أوسطي تقليدي
Fenugreek Seed Oil,Trigonella Foenum-Graecum Seed Oil,Emollient/Conditioning,4.0,4.5,4.0,6.5,8.0,30,Medium,2.0,15.0,4,Traditional conditioning oil,Other traditional oils; Conditioning agents,None known,4.0,8.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Traditional conditioning oil,زيت تكييف تقليدي
Carrot Seed Oil,Daucus Carota Seed Oil,Emollient/Antioxidant,5.0,3.5,4.5,6.0,8.0,25,Low,0.5,5.0,6,Beta-carotene rich oil,Carrot Extract; Other antioxidant oils,None known,4.0,8.0,Variable,High,4.5,5.5,8.5,Yes,Yes,Rich in beta-carotene and antioxidants,غني بالبيتا كاروتين ومضادات الأكسدة
Celery Seed Oil,Apium Graveolens Seed Oil,Emollient/Detoxifying,3.5,4.0,3.5,5.5,7.5,15,Low,0.5,3.0,4,Traditional detoxifying oil,Other detoxifying oils; Celery extract,Celery allergies,4.0,8.0,Variable,High,4.0,5.0,8.0,Yes,Yes,Traditional detoxifying oil. May cause photosensitivity,زيت إزالة السموم التقليدي. قد يسبب حساسية ضوئية
Dill Seed Oil,Anethum Graveolens Seed Oil,Emollient/Soothing,3.5,3.5,3.0,5.5,8.0,10,Low,0.5,2.0,3,Gentle soothing oil,Other gentle oils; Soothing agents,None known,4.0,8.0,Variable,High,3.5,4.5,8.5,Yes,Yes,Gentle oil with soothing properties,زيت لطيف مع خصائص مهدئة
Fennel Seed Oil,Foeniculum Vulgare Seed Oil,Emollient/Toning,4.0,4.0,3.5,5.5,7.5,20,Low,0.5,3.0,4,Traditional toning oil,Other toning oils; Fennel extract,None known,4.0,8.0,Variable,High,4.0,5.0,8.0,Yes,Yes,Traditional toning oil,زيت تنغيم تقليدي
Coriander Seed Oil,Coriandrum Sativum Seed Oil,Emollient/Antimicrobial,4.0,4.5,3.5,5.5,8.0,15,Low,0.5,3.0,3,Gentle antimicrobial oil,Other gentle antimicrobials; Spice oils,None known,4.0,8.0,Variable,High,3.5,4.5,8.5,Yes,Yes,Gentle antimicrobial with pleasant scent,مضاد ميكروبي لطيف برائحة لприятная
Cumin Seed Oil,Cuminum Cyminum Seed Oil,Emollient/Antioxidant,4.0,4.0,4.0,5.0,7.5,20,Low,0.5,3.0,4,Spice oil with antioxidants,Other spice oils; Antioxidants,None known,4.0,8.0,Variable,High,4.0,5.0,8.0,Yes,Yes,Traditional spice oil with antioxidant benefits,زيت توابل تقليدي مع فوائد مضادة للأكسدة
